Date,daxi,daxi_lag1,cac40,hsi,nikkei,sp500,spy,nasdaq,dji,aord,Price
2009-01-08,-5.580078125,-111.4599609375,-70.35009765625,-339.8994140625,-266.7900390625,-20.79998779296875,-1.3300018310546875,-22.5699462890625,-227.240234375,26.2998046875,4897.16015625
2009-01-09,-126.2001953125,-5.580078125,29.2001953125,-153.3896484375,-95.91015625,4.0,0.8799972534179688,26.760009765625,-27.48046875,26.2998046875,4891.580078125
2009-01-12,-60.8701171875,-126.2001953125,-50.260009765625,-341.259765625,-95.91015625,-19.55999755859375,-2.07000732421875,-45.4600830078125,-139.6201171875,-14.7001953125,4765.3798828125
2009-01-13,-42.669921875,-60.8701171875,-55.330078125,-262.2197265625,-318.7197265625,-20.1400146484375,-1.8899993896484375,-34.659912109375,-125.2900390625,22.199951171875,4704.509765625
2009-01-14,-227.61962890625,-42.669921875,-15.3701171875,-102.419921875,12.7001953125,2.0,0.37999725341796875,9.0399169921875,-26.05078125,-113.800048828125,4661.83984375
2009-01-15,-38.43017578125,-227.61962890625,-159.929931640625,106.7294921875,-286.06982421875,-24.6600341796875,-1.1699981689453125,-32.0699462890625,-245.8701171875,0.7998046875,4434.22021484375
2009-01-16,14.08984375,-38.43017578125,2.260009765625,-23.4599609375,104.9501953125,1.75,0.279998779296875,22.3800048828125,16.25,0.7998046875,4395.7900390625
2009-01-19,-112.4599609375,14.08984375,10.7099609375,-74.099609375,-61.41015625,1.75,0.279998779296875,22.3800048828125,16.25,-83.89990234375,4409.8798828125
2009-01-20,-89.22998046875,-112.4599609375,-85.10986328125,105.369140625,-121.35009765625,5.66998291015625,-0.8000030517578125,-3.1400146484375,65.5498046875,-15.699951171875,4297.419921875
2009-01-21,105.169921875,-89.22998046875,-99.719970703125,49.0302734375,-48.31982421875,-44.4200439453125,-3.660003662109375,-79.9000244140625,-330.5400390625,24.7998046875,4208.18994140625
2009-01-22,-109.35986328125,105.169921875,79.56982421875,-186.3798828125,63.4404296875,33.469970703125,2.1100006103515625,40.669921875,278.9296875,-118.300048828125,4313.35986328125
2009-01-23,-38.2900390625,-109.35986328125,-95.429931640625,36.58984375,-220.16015625,-12.239990234375,0.3300018310546875,-5.3599853515625,-101.6298828125,-118.300048828125,4204.0
2009-01-26,157.2802734375,-38.2900390625,-30.489990234375,36.58984375,-32.11962890625,9.7900390625,2.2099990844726562,36.510009765625,-31.22998046875,63.699951171875,4165.7099609375
2009-01-27,24.78955078125,157.2802734375,131.7099609375,36.58984375,278.169921875,4.07000732421875,0.09000396728515625,9.47998046875,37.98974609375,36.7001953125,4322.990234375
2009-01-28,147.96044921875,24.78955078125,27.900146484375,36.58984375,54.0400390625,8.4100341796875,0.40000152587890625,10.780029296875,57.33984375,0.699951171875,4347.77978515625
2009-01-29,-75.41015625,147.96044921875,55.7998046875,-405.640625,50.080078125,28.36004638671875,0.9899978637695312,27.8599853515625,199.52001953125,27.800048828125,4495.740234375
2009-01-30,-111.16015625,-75.41015625,-54.68994140625,320.1298828125,-148.830078125,-23.75,-1.55999755859375,-29.6300048828125,-224.0498046875,27.800048828125,4420.330078125
2009-02-02,-6.64990234375,-111.16015625,-70.27001953125,-332.509765625,-34.52978515625,-19.80999755859375,-2.1500015258789062,-43.0399169921875,-148.14990234375,-1.199951171875,4309.169921875
2009-02-03,85.73974609375,-6.64990234375,22.1201171875,-214.6005859375,-37.4404296875,2.3499755859375,1.0100021362304688,33.580078125,-63.8701171875,-62.199951171875,4302.52001953125
2009-02-04,55.6904296875,85.73974609375,56.64990234375,34.4697265625,141.69970703125,12.82000732421875,0.6399993896484375,16.7100830078125,141.36962890625,-28.0,4388.259765625
2009-02-05,80.849609375,55.6904296875,3.169921875,94.1103515625,-35.8798828125,-5.5400390625,-0.970001220703125,-2.139892578125,-113.65966796875,24.10009765625,4443.9501953125
2009-02-06,103.0302734375,80.849609375,78.9501953125,119.2802734375,22.35009765625,14.0999755859375,1.8700027465820312,47.6500244140625,108.23974609375,24.10009765625,4524.7998046875
2009-02-09,8.81005859375,103.0302734375,20.52001953125,-96.5302734375,-209.0400390625,22.50994873046875,2.1200027465820312,44.7099609375,224.2099609375,-23.599853515625,4627.830078125
2009-02-10,-144.919921875,8.81005859375,-8.300048828125,93.51953125,-121.0,1.6500244140625,0.1399993896484375,0.820068359375,-10.509765625,15.60009765625,4636.64013671875
2009-02-11,26.9599609375,-144.919921875,-106.550048828125,-6.9296875,-121.0,-39.71002197265625,-3.1599960327148438,-53.2900390625,-380.48046875,39.199951171875,4491.72021484375
2009-02-12,-59.93994140625,26.9599609375,14.72998046875,-211.2802734375,-137.169921875,6.33001708984375,0.15000152587890625,-1.0799560546875,52.47998046875,43.599853515625,4518.68017578125
2009-02-13,-72.2802734375,-59.93994140625,1.699951171875,239.8603515625,-9.9501953125,5.280029296875,1.4900054931640625,31.5399169921875,0.78955078125,43.599853515625,4458.740234375
2009-02-16,-57.10986328125,-72.2802734375,-35.010009765625,-103.9404296875,17.48974609375,5.280029296875,1.4900054931640625,31.5399169921875,0.78955078125,-41.699951171875,4386.4599609375
2009-02-17,-99.8203125,-57.10986328125,-43.809814453125,-250.109375,-44.6201171875,-7.1099853515625,-0.7900009155273438,-5.3599853515625,-82.58984375,-20.300048828125,4329.35009765625
2009-02-18,-16.81982421875,-99.8203125,-38.070068359375,232.2099609375,-5.52001953125,-29.44000244140625,-0.94000244140625,-18.4599609375,-293.02978515625,31.0,4229.52978515625
