Date,High,Low,Open,Close,Volume,Adj Close
2002-01-02,323.69000244140625,296.19000244140625,307.260009765625,323.69000244140625,0.0,323.69000244140625
2002-01-03,345.8699951171875,322.07000732421875,323.69000244140625,340.6000061035156,0.0,340.6000061035156
2002-01-04,343.2200012207031,321.4200134277344,340.05999755859375,343.2200012207031,0.0,343.2200012207031
2002-01-17,375.8299865722656,318.9200134277344,322.9700012207031,371.20001220703125,0.0,371.20001220703125
2002-01-18,422.29998779296875,377.1199951171875,377.1499938964844,414.8599853515625,0.0,414.8599853515625
2002-01-21,500.5899963378906,414.8599853515625,414.8599853515625,470.54998779296875,0.0,470.54998779296875
2002-01-22,482.5400085449219,441.2099914550781,480.8599853515625,445.8800048828125,0.0,445.8800048828125
2002-01-23,453.2300109863281,423.2300109863281,438.6700134277344,438.8900146484375,0.0,438.8900146484375
2002-01-24,440.5799865722656,407.42999267578125,438.8900146484375,409.45001220703125,0.0,409.45001220703125
2002-01-25,407.1000061035156,392.239990234375,407.1000061035156,406.5,0.0,406.5
2002-01-28,424.9700012207031,407.5299987792969,408.6600036621094,419.0400085449219,0.0,419.0400085449219
2002-01-29,436.8999938964844,419.1000061035156,420.7699890136719,425.1000061035156,0.0,425.1000061035156
2002-01-30,454.8900146484375,425.2699890136719,425.2699890136719,454.260009765625,0.0,454.260009765625
2002-01-31,471.5799865722656,436.25,462.010009765625,439.20001220703125,0.0,439.20001220703125
2002-02-01,449.54998779296875,430.3699951171875,439.20001220703125,444.9200134277344,0.0,444.9200134277344
2002-02-06,476.9200134277344,444.2099914550781,444.9200134277344,471.3399963378906,0.0,471.3399963378906
2002-02-07,489.5199890136719,459.04998779296875,471.8800048828125,459.04998779296875,0.0,459.04998779296875
2002-02-08,468.2300109863281,435.4599914550781,459.04998779296875,457.5400085449219,0.0,457.5400085449219
2002-02-11,457.5400085449219,406.2799987792969,457.0,408.69000244140625,0.0,408.69000244140625
2002-02-12,407.6099853515625,373.9599914550781,407.6099853515625,374.4700012207031,0.0,374.4700012207031
2002-02-13,386.760009765625,359.0,373.92999267578125,385.239990234375,0.0,385.239990234375
2002-02-14,382.4700012207031,371.5799865722656,379.29998779296875,375.4200134277344,0.0,375.4200134277344
2002-02-15,389.1099853515625,369.6499938964844,377.0400085449219,376.1499938964844,0.0,376.1499938964844
2002-02-18,396.1400146484375,374.1300048828125,376.1499938964844,390.5199890136719,0.0,390.5199890136719
2002-02-19,403.760009765625,390.8299865722656,390.8299865722656,395.489990234375,0.0,395.489990234375
2002-02-20,410.7300109863281,386.55999755859375,395.7300109863281,388.8900146484375,0.0,388.8900146484375
