"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.485604606525912,-0.069267733377807,-0.344330239751187,0.835744589812999
"MSI",0.489463601532567,0.0855897172720872,0.535625233300648,0.568298547047558
"XL",0.481773399014778,-0.0777173965175419,-0.459148659407244,0.865066338334282
"EW",0.525,0.094118460443579,0.439870837755316,0.527376702806343
"AMZN",0.531707317073171,0.224411517026096,0.959834848397284,0.364246921600261
"NWL",0.48011639185257,-0.00173493362512934,-0.00905896837750278,0.681527368047822
"ROP",0.513833992094862,0.0596858327622008,0.405879154933797,0.518934073264189
"HCP",0.496330275229358,-0.0654469530761742,-0.361658429602031,0.817185692189248
"BMY",0.449360865290069,-0.216258939911203,-1.29071035531178,0.879122616929446
"NFLX",0.515611061552186,0.380712218593413,0.928729136523835,0.748871282295691
"EMN",0.483568075117371,-0.0290563908003965,-0.141491406385473,0.802664479448558
"IP",0.495229007633588,0.046594921361032,0.250273955266734,0.798992643887887
"AMGN",0.482352941176471,-0.032258261366405,-0.186596083452986,0.648071761221319
"HCN",0.519963702359347,-0.0352578056210251,-0.220495591065459,0.691192034903147
"REGN",0.486854034451496,0.245247705526169,0.813515082854507,0.728018283389316
"DHR",0.465549348230912,-0.0875999487171458,-0.579738413679297,0.771632900972757
"SCG",0.462630085146641,-0.133167843436404,-0.988627803065798,0.79682961796338
"PLD",0.516754850088183,0.0802538686999771,0.437196702711637,0.666781162454021
"BXP",0.513222331047992,0.049568821631156,0.322343684614887,0.688826128067008
"CME",0.474480151228733,-0.0216936763537594,-0.130441914001465,0.755912615331461
"AVB",0.519793459552496,0.0787311080247538,0.493880956507198,0.672813301435419
"AEP",0.494130202774813,-0.0951462014212598,-0.845629681898397,0.701627386498365
"EL",0.496014171833481,0.066676261937213,0.340866439085832,0.643563789230881
"PPL",0.469216417910448,-0.163493308256588,-1.28332092829263,0.816485365899935
"VTR",0.534448818897638,0.0431436301836631,0.260803347305346,0.606118854796354
"CHRW",0.491881566380134,-0.106969324215968,-0.6189519086408,0.813577923260042
"EIX",0.478302796528447,-0.108395677294573,-0.899985236354409,0.741930727961595
"VNO",0.5,0.041056102810112,0.24585938528454,0.675539500258552
"TWX",0.492970946579194,-0.025457735217352,-0.156703263725882,0.716486475758872
"CI",0.518097207859359,0.0861261155721478,0.528217169714056,0.472325228047392
"NEE",0.503663003663004,0.00349668802464202,0.0303311868940095,0.520014457320135
"D",0.456521739130435,-0.108954148760926,-0.939990125837834,0.736025084297745
"EXC",0.481369587109768,-0.0972462526736916,-0.70518343163931,0.715978074689138
"PSA",0.527904849039341,0.0582049080245645,0.421991987280216,0.566072007782805
"DUK",0.471844660194175,-0.123608739136217,-1.12795219962526,0.723296327381614
"SBUX",0.497087378640777,0.0244104159883963,0.138185524664249,0.673829890535508
"MMC",0.461309523809524,-0.0858680916130624,-0.684715730610663,0.722491688666514
"GRMN",0.488950276243094,-0.0289658929801256,-0.143128836812272,0.806058480854523
"DGX",0.493494423791822,-0.0899101586777794,-0.594659415219076,0.757205317684466
