"","WinTrade","AnnRetTrade","AnnSharpeTrade","MaxDDTrade"
"MAT",0.5375,0.101886905957831,0.412507762581233,0.685512867114779
"MSI",0.535262206148282,0.248579967827306,1.2816872495594,0.225907967342274
"XL",0.544668587896254,0.20705183874648,0.986687129481778,0.283634379795243
"EW",0.537531806615776,0.270716658227109,1.00173805318954,0.400931944312475
"AMZN",0.538414259373079,0.371258155930787,1.34183355423254,0.315732076829338
"NWL",0.525179856115108,0.260263435972679,1.09612462555702,0.441516253996079
"ROP",0.553296703296703,0.273144402057481,1.41627328744039,0.25291298323938
"HCP",0.556812062466344,0.16854573396501,0.747309831315018,0.449363945506392
"BMY",0.533941814033086,0.141373292406818,0.667215617092524,0.383182089287135
"NFLX",0.550179211469534,0.598042842330728,1.81393536420456,0.34997447501267
"EMN",0.536842105263158,0.228992320355132,1.03837352610324,0.376679634106522
"IP",0.537433155080214,0.31667645390766,1.37899900243113,0.297412236930163
"AMGN",0.526938239159001,0.18756988942944,0.918135132344938,0.249384925737362
"HCN",0.558096415327565,0.188022405370287,0.997938978657724,0.317906863036911
"REGN",0.53133514986376,0.491429772932007,1.44019154059111,0.461909319613131
"DHR",0.521499448732084,0.242119252907347,0.937481082798089,0.274554423506919
"SCG",0.502638522427441,0.0738909971790269,0.493453669512909,0.255180494136018
"PLD",0.548206278026906,0.3117023352229,1.32910430199736,0.386175289145494
"BXP",0.538666666666667,0.181612183142608,1.02646613179319,0.255410280464635
"CME",0.531007751937985,0.256586248699885,1.34608884155545,0.26731826203315
"AVB",0.549122807017544,0.234564294749177,1.25826895935202,0.30065990519379
"AEP",0.553624925104853,0.150363452706452,1.0643446488267,0.17022782130365
"EL",0.523909985935302,0.1763205092877,0.848358904189342,0.372894159392032
"PPL",0.542401821286283,0.0985169560302031,0.674125413070761,0.219005803528265
"VTR",0.565751022793688,0.169108696902682,0.769764038289728,0.520268442256831
"CHRW",0.541237113402062,0.107693561423691,0.529690554854157,0.358393555165946
"EIX",0.5370061213133,0.144857879381117,0.854327111449824,0.231131054548294
"VNO",0.529129129129129,0.175890461129828,0.957207333377002,0.29076440383021
"TWX",0.532816229116945,0.216699608233388,1.07890207909503,0.343020913138628
"CI",0.548267326732673,0.302407060719493,1.38759072436879,0.320174813934638
"NEE",0.566271551724138,0.233361851397379,1.5426511633228,0.139763612063515
"D",0.539057841383423,0.142813401517543,1.00379282305172,0.161052700284637
"EXC",0.515659140568099,0.0481668127580406,0.29273546124119,0.364060242681266
"PSA",0.553121577217963,0.240233718817536,1.29634325684589,0.269760487325275
"DUK",0.537248504622077,0.120130844521514,0.852473021070459,0.230800154367552
"SBUX",0.539416058394161,0.261557730996646,1.23796201175676,0.297997830829207
"MMC",0.532066508313539,0.177070823166416,1.11143232653916,0.182771878567749
"GRMN",0.534948096885813,0.214554826039725,0.985937805298966,0.509343077251431
"DGX",0.53195067264574,0.144508959342516,0.770950126020191,0.248336439321595
"GT",0.537883531621791,0.28993557835663,0.910312131374062,0.497575719870281
"SO",0.527341294783155,0.0614978214051714,0.502273205929905,0.192954797992869
"BMS",0.52233676975945,0.103982125763972,0.582759311473389,0.266709449586846
"CELG",0.541263517359135,0.235406069379715,0.878723367497074,0.49276270372576
"AEE",0.546270330902973,0.177888663302366,1.08366469994007,0.200780287592589
"PFE",0.505908419497784,0.0991030938945371,0.692054541643607,0.214651124767657
"AIV",0.55005500550055,0.309747850687398,1.39577297743559,0.267336980720351
"CNP",0.526114649681529,0.0974786654545097,0.592462501707813,0.460202731131774
"AON",0.545912653975364,0.188639090048215,1.0742170752939,0.283910050292624
"FFIV",0.537704918032787,0.256132367080167,0.854079794593332,0.678935009643679
"MDT",0.531179138321995,0.157109165608488,0.849942228174889,0.291538906222757
"PRGO",0.542168674698795,0.262459007555002,0.995975738344261,0.562268379395768
"BIIB",0.522367515485203,0.185265102605709,0.70806433434998,0.717832683335575
"EQR",0.55511811023622,0.242495902167931,1.30571317796036,0.215642963541487
"PGR",0.542618384401114,0.22820299271968,1.33388306128911,0.221057457096444
"NKE",0.530020703933747,0.186705165821704,0.938647643498416,0.230140607359201
"PAYX",0.533519553072626,0.147117070163142,0.920628938770315,0.236266098409059
"JCI",0.528316524437549,0.204183989398984,1.14579705702089,0.265094409395263
"MON",0.520259319286872,0.143169831257897,0.852863870808991,0.292827814037919
"PNC",0.552373775433308,0.260314261917274,1.63551583014842,0.286479747270793
"XEL",0.543342776203966,0.118820752375588,0.833406969010422,0.243343485957153
"MO",0.554133333333333,0.202888142590735,1.34403736445843,0.203792531960631
"SNI",0.53960396039604,0.219438388203773,1.18338838589877,0.337598540793982
"HSY",0.527634961439589,0.198751989700809,1.27729865508522,0.178448108815309
"FOXA",0.514995715509854,0.18003401535592,0.857259210610635,0.500376175661048
"KEY",0.54217568353694,0.331953128140849,1.27851810272482,0.406365482974522
"ABT",0.519174041297935,0.118225656636486,0.706863196359601,0.328055692375328
"ALL",0.535645472061657,0.219928983209556,1.26785123046829,0.328730761713215
"ESS",0.551031790295594,0.245014144808689,1.29367156733512,0.25614867080019
"RSG",0.558519324986391,0.198620178846253,1.23198654403932,0.265699773154787
"MDLZ",0.515762925598991,0.0928662750265069,0.545383259195856,0.298537643445341
"AFL",0.56129476584022,0.262911538327612,1.70679524415392,0.192380895318958
"AME",0.538677130044843,0.195806885744928,0.915898368771361,0.324883118969722
"CCI",0.534285714285714,0.193482523914352,1.19855088311253,0.19772834423515
